Date,Rate
2020-10-10,28.2836
2020-10-11,28.2836
2020-10-12,28.2098
2020-10-13,28.2481
2020-10-14,28.2481
2020-10-15,28.3164
2020-10-16,28.3365
2020-10-17,28.3365
2020-10-18,28.3365
2020-10-19,28.3649
2020-10-20,28.3762
2020-10-21,28.3707
2020-10-22,28.2737
2020-10-23,28.265
2020-10-24,28.265
2020-10-25,28.265
2020-10-26,28.2911
2020-10-27,28.3352
2020-10-28,28.3655
2020-10-29,28.3989
2020-10-30,28.4383
2020-10-31,28.4383
2020-11-01,28.4383
2020-11-02,28.4507
2020-11-03,28.5827
2020-11-04,28.6
2020-11-05,28.5074
2020-11-06,28.3643
2020-11-07,28.3643
2020-11-08,28.3643
2020-11-09,28.1375
2020-11-10,28.1116
2020-11-11,28.1206
2020-11-12,28.161
2020-11-13,28.1963
2020-11-14,28.1963
2020-11-15,28.1963
2020-11-16,28.1158
2020-11-17,28.112
2020-11-18,28.1067
2020-11-19,28.13
2020-11-20,28.2572
2020-11-21,28.2572
2020-11-22,28.2572
2020-11-23,28.3553
2020-11-24,28.3694
2020-11-25,28.3741
2020-11-26,28.3816
2020-11-27,28.4428
2020-11-28,28.4428
2020-11-29,28.4428
2020-11-30,28.4681
2020-12-01,28.4962
2020-12-02,28.5583
2020-12-03,28.4367
2020-12-04,28.3038
2020-12-05,28.3038
2020-12-06,28.3038
2020-12-07,28.2913
2020-12-08,28.2394
2020-12-09,28.0828
2020-12-10,28.0406
2020-12-11,28.075
2020-12-12,28.075
2020-12-13,28.075
2020-12-14,27.9666
2020-12-15,27.8661
2020-12-16,27.759
2020-12-17,27.7373
2020-12-18,27.8184
2020-12-19,27.8184
2020-12-20,27.8184
2020-12-21,27.828
2020-12-22,28.0391
2020-12-23,28.2513
2020-12-24,28.4551
2020-12-25,28.4551
2020-12-26,28.4551
2020-12-27,28.4551
2020-12-28,28.3547
2020-12-29,28.3668
2020-12-30,28.2605
2020-12-31,28.2746
2021-01-01,28.2746
2021-01-02,28.2746
2021-01-03,28.2746
2021-01-04,28.2746
2021-01-05,28.431
2021-01-06,28.4028
2021-01-07,28.4028
2021-01-08,28.4028
2021-01-09,28.4028
2021-01-10,28.4028
2021-01-11,28.2847
2021-01-12,28.2038
2021-01-13,28.046
2021-01-14,27.9705
2021-01-15,28.0609
2021-01-16,28.0524
2021-01-17,28.0524
2021-01-18,28.0524
2021-01-19,28.1926
2021-01-20,28.1544
2021-01-21,28.2035
2021-01-22,28.2561
2021-01-23,28.2561
2021-01-24,28.2561
2021-01-25,28.1648
2021-01-26,28.1665
2021-01-27,28.1524
2021-01-28,28.1652
2021-01-29,28.1929
2021-01-30,28.1929
2021-01-31,28.1929
2021-02-01,28.1324
2021-02-02,28.0603
2021-02-03,28.0589
2021-02-04,27.995
2021-02-05,27.8885
2021-02-06,27.8885
2021-02-07,27.8885
2021-02-08,27.7711
2021-02-09,27.6651
2021-02-10,27.6426
2021-02-11,27.7665
2021-02-12,27.8384
2021-02-13,27.8384
2021-02-14,27.8384
2021-02-15,27.844
2021-02-16,27.9671
2021-02-17,27.8304
2021-02-18,27.9038
2021-02-19,27.8461
2021-02-20,27.8461
2021-02-21,27.8461
2021-02-22,27.8468
2021-02-23,27.9304
2021-02-24,27.8976
2021-02-25,27.9492
2021-02-26,27.9301
2021-02-27,27.9301
2021-02-28,27.9301
2021-03-01,27.9456
2021-03-02,28.0007
2021-03-03,27.933
2021-03-04,27.8477
2021-03-05,27.7564
2021-03-06,27.7564
2021-03-07,27.7564
2021-03-08,27.7564
2021-03-09,27.7091
2021-03-10,27.7431
